FormattedID,Description,Platform,PlanEstimate
OpenMetadata – REQ-4,"Evaluate OpenMetadata support for link datasets to sharing agreements in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",OpenMetadata,3
OpenMetadata – REQ-5,"Evaluate OpenMetadata support for assign and audit ownership in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",OpenMetadata,2
OpenMetadata – REQ-6,"Evaluate OpenMetadata support for display permitted use in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",OpenMetadata,2
OpenMetadata – REQ-7,"Evaluate OpenMetadata support for block ingestion without mandatory metadata in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",OpenMetadata,4
DataHub – REQ-1,"Evaluate DataHub support for metadata registration at ingestion (controller, processor, retention, owner) in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",DataHub,3
DataHub – REQ-2,"Evaluate DataHub support for audit/filter by controller/processor in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",DataHub,3
DataHub – REQ-3,"Evaluate DataHub support for enforce retention policies with alert/flag in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",DataHub,5
DataHub – REQ-4,"Evaluate DataHub support for link datasets to sharing agreements in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",DataHub,3
DataHub – REQ-5,"Evaluate DataHub support for assign and audit ownership in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",DataHub,2
DataHub – REQ-6,"Evaluate DataHub support for display permitted use in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",DataHub,2
DataHub – REQ-7,"Evaluate DataHub support for block ingestion without mandatory metadata in an AWS-native setup focusing on Amazon S3 as the data storage layer, and AWS Glue as the metadata catalog where applicable. Test ingestion of datasets stored in Amazon S3, with metadata schemas registered in AWS Glue, for S3-based objects. Document whether the metadata fields can be captured natively at ingestion or modeled through tags, policies, or glossary extensions. Confirm that metadata is visible in the UI, searchable, filterable, auditable, and enforced where applicable.",DataHub,4
